dataset,column,dtype,non_null_count,missing_count,missing_pct,example_value,description
bivariate_indicator_associations,Outcome,object,42,0,0.0,AI_AN_Missing,
bivariate_indicator_associations,Indicator,object,42,0,0.0,BoardingSchool_Count,
bivariate_indicator_associations,N,int64,42,0,0.0,13,
bivariate_indicator_associations,Spearman_Rho,float64,35,7,16.666666666666664,0.7834490211171403,
bivariate_indicator_associations,Kendall_Tau_b,float64,35,7,16.666666666666664,0.6666809066604027,
bivariate_indicator_associations,Descriptive_Bootstrap_CI_Lower,float64,35,7,16.666666666666664,0.4023728091260889,
bivariate_indicator_associations,Descriptive_Bootstrap_CI_Upper,float64,35,7,16.666666666666664,0.9720757654104693,
bivariate_indicator_associations,CI_Interpretation,object,42,0,0.0,descriptive_only_not_for_inference,
bivariate_indicator_associations,Permutation_P_Value,float64,42,0,0.0,0.0237976202379762,
bivariate_indicator_associations,Permutation_Mode,object,42,0,0.0,permutation,
bivariate_indicator_associations,Partial_Spearman_Rho,float64,36,6,14.285714285714285,0.3819781080893356,
bivariate_indicator_associations,Partial_Permutation_P_Value,float64,36,6,14.285714285714285,0.2028797120287971,
bivariate_indicator_associations,Confounders_Used,object,36,6,14.285714285714285,AI_AN_Population_Percent,
bivariate_indicator_associations,Holm_Adjusted_P_Within_Outcome,float64,42,0,0.0,0.118988101189881,
bivariate_indicator_associations,BH_FDR_Adjusted_P_Within_Outcome,float64,42,0,0.0,0.0713928607139286,
