State,Indicator,Value,Definition,Source_Label
Alaska,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Arizona,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
California,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Colorado,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Florida,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Idaho,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Michigan,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Minnesota,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Montana,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Nevada,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
New Jersey,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
New Mexico,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
New York,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
North Carolina,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Oklahoma,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Oregon,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
South Dakota,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Texas,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Utah,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Washington,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Alaska,Mean_BoardingSchool_Duration_Years,60.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Arizona,Mean_BoardingSchool_Duration_Years,60.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
California,Mean_BoardingSchool_Duration_Years,50.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Colorado,Mean_BoardingSchool_Duration_Years,52.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Florida,Mean_BoardingSchool_Duration_Years,40.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Idaho,Mean_BoardingSchool_Duration_Years,48.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
