State,Indicator,Value,Definition,Source_Label
Alaska,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Alaska,Environmental_Burden_Index,9.0,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Alaska,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Alaska,Max_BoardingSchool_Duration_Years,95.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Alaska,Mean_BoardingSchool_Duration_Years,95.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Alaska,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Arizona,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
Arizona,Environmental_Burden_Index,5.2,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Arizona,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Arizona,Max_BoardingSchool_Duration_Years,99.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Arizona,Mean_BoardingSchool_Duration_Years,99.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
Arizona,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
California,BoardingSchool_Count,1.0,Number of unique boarding schools recorded in the source listing for the state.,Federal Indian Boarding School listing
California,Environmental_Burden_Index,12.0,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
California,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
California,Max_BoardingSchool_Duration_Years,87.0,Maximum observed operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
California,Mean_BoardingSchool_Duration_Years,87.0,Mean operating duration in years across listed boarding schools in the state.,Federal Indian Boarding School listing
California,Schools_With_Burial_Site_Flag,1.0,Count of listed boarding schools in the state with a burial-site flag in the source file.,Federal Indian Boarding School listing
Colorado,Environmental_Burden_Index,6.2,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Colorado,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Florida,Environmental_Burden_Index,7.9,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Florida,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
Idaho,Environmental_Burden_Index,8.7,Average PM2.5 exposure (ug/m^3),EPA/EJSCREEN-derived
Idaho,Federal_BoardingSchool_Presence,1.0,State had documented federally supported Indian boarding schools (DOI dataset),DOI Federal Indian Boarding School Initiative (2022)
