Metric,Indicator,Value
Item_Total_Rho,BoardingSchool_Count,0.5344372896443914
Item_Total_Rho,Environmental_Burden_Index,-0.11862170520800655
Item_Total_Rho,Max_BoardingSchool_Duration_Years,0.38514479351651065
Item_Total_Rho,Mean_BoardingSchool_Duration_Years,0.38514479351651065
Item_Total_Rho,Schools_With_Burial_Site_Flag,0.22792115291927592
Cronbach_Alpha,OVERALL,0.6803556401188187
KMO,OVERALL,0.5444155998764881
PCA_Variance_Explained,PC1,0.5070175907816852
PCA_Variance_Explained,PC2,0.2657405814070073
PCA_Variance_Explained,PC3,0.13799490509729173
PCA_Variance_Explained,PC4,0.08924692271401577
PCA_Variance_Explained,PC5,1.1936759698273329e-33
PCA_PC1_Loading,BoardingSchool_Count,0.4838506092117258
PCA_PC1_Loading,Environmental_Burden_Index,0.008500561876990886
PCA_PC1_Loading,Max_BoardingSchool_Duration_Years,0.5737889922516521
PCA_PC1_Loading,Mean_BoardingSchool_Duration_Years,0.5737889922516521
PCA_PC1_Loading,Schools_With_Burial_Site_Flag,0.3276411347112636
