Indicator_A,Indicator_B,Spearman_Rho
BoardingSchool_Count,BoardingSchool_Count,1.0
BoardingSchool_Count,Environmental_Burden_Index,0.016597526249293792
BoardingSchool_Count,Max_BoardingSchool_Duration_Years,0.2772416430361711
BoardingSchool_Count,Mean_BoardingSchool_Duration_Years,0.2772416430361711
BoardingSchool_Count,Schools_With_Burial_Site_Flag,0.5428060175394582
Environmental_Burden_Index,BoardingSchool_Count,0.016597526249293792
Environmental_Burden_Index,Environmental_Burden_Index,1.0
Environmental_Burden_Index,Max_BoardingSchool_Duration_Years,-0.059392491806588295
Environmental_Burden_Index,Mean_BoardingSchool_Duration_Years,-0.059392491806588295
Environmental_Burden_Index,Schools_With_Burial_Site_Flag,-0.1430413964485813
Max_BoardingSchool_Duration_Years,BoardingSchool_Count,0.2772416430361711
Max_BoardingSchool_Duration_Years,Environmental_Burden_Index,-0.059392491806588295
Max_BoardingSchool_Duration_Years,Max_BoardingSchool_Duration_Years,1.0
Max_BoardingSchool_Duration_Years,Mean_BoardingSchool_Duration_Years,1.0
Max_BoardingSchool_Duration_Years,Schools_With_Burial_Site_Flag,0.057058719496440716
Mean_BoardingSchool_Duration_Years,BoardingSchool_Count,0.2772416430361711
Mean_BoardingSchool_Duration_Years,Environmental_Burden_Index,-0.059392491806588295
Mean_BoardingSchool_Duration_Years,Max_BoardingSchool_Duration_Years,1.0
Mean_BoardingSchool_Duration_Years,Mean_BoardingSchool_Duration_Years,1.0
Mean_BoardingSchool_Duration_Years,Schools_With_Burial_Site_Flag,0.057058719496440716
Schools_With_Burial_Site_Flag,BoardingSchool_Count,0.5428060175394582
Schools_With_Burial_Site_Flag,Environmental_Burden_Index,-0.1430413964485813
Schools_With_Burial_Site_Flag,Max_BoardingSchool_Duration_Years,0.057058719496440716
Schools_With_Burial_Site_Flag,Mean_BoardingSchool_Duration_Years,0.057058719496440716
Schools_With_Burial_Site_Flag,Schools_With_Burial_Site_Flag,1.0
