Variable,count,mean,std,min,25%,50%,75%,max
Historical_Trauma_Index,20.0,1.582067810090848e-16,0.6790523584851231,-0.7732335712964521,-0.5397967216913226,-0.23205534987158122,0.3401044253138994,1.4922966570037604
Indicators_Used,20.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
Constant_Indicators_Dropped,20.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
AI_AN_Population,20.0,181442.85,161515.0440632878,33746.0,78067.25,116855.0,226181.25,649862.0
Total_Population,20.0,9389980.9,10409644.813117653,733391.0,2857841.0,5740104.0,10167845.25,39538223.0
AI_AN_Population_Percent,20.0,4.0604106948380245,4.4390587869559655,0.470304208984721,1.3532214272470102,1.9216852718688964,4.950737080458855,15.537823616597422
Mean_Mortality_Disparity_Ratio,20.0,1.7525701746243603,0.2366586064844507,1.5384615384615383,1.5719945355191258,1.6691542288557213,1.7749183006535947,2.2666666666666666
Mortality_Cause_Count,20.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Total_Missing,20.0,1087.5,839.3097101032992,400.0,612.5,800.0,1125.0,3500.0
AI_AN_Missing,20.0,40.2,28.19219750214587,8.0,18.0,29.0,60.0,95.0
AI_AN_Percent_Missing,20.0,4.728898046398046,3.6298350177230128,0.9,2.1944444444444446,2.966666666666667,8.125,12.0
Overrepresentation_Ratio,20.0,1.486750461196824,0.4068591476132782,0.5997474747474748,1.3379513390722142,1.594035594035594,1.7358117816091956,2.1951219512195124
