State,Historical_Trauma_Index,Indicators_Used,Normalization_Method,Constant_Indicators_Dropped
Alaska,0.5124445070192751,4,zscore,2
Arizona,-0.010628508288079363,4,zscore,2
California,0.8535972940254859,4,zscore,2
Colorado,-0.67375190421782,1,zscore,2
Florida,0.22812072347532591,1,zscore,2
Idaho,0.6525313718015117,1,zscore,2
Michigan,-0.05152397903977543,4,zscore,2
Minnesota,0.01813703711174017,4,zscore,2
Montana,-0.9390085594216865,1,zscore,2
Nevada,-0.056108565363365406,4,zscore,2
New Jersey,0.6525313718015117,1,zscore,2
New Mexico,-0.13224050259554274,4,zscore,2
New York,-0.18415783156519389,4,zscore,2
North Carolina,-1.4920239793442351,4,zscore,2
Oklahoma,1.2706725824976097,4,zscore,2
Oregon,-0.10059309611854965,4,zscore,2
South Dakota,0.22423822448911374,4,zscore,2
Texas,0.6525313718015117,1,zscore,2
Utah,-0.30239258693240695,1,zscore,2
Washington,-0.9299754772285524,4,zscore,2
