State,Structural_Exposure_Composite,Scheme,Scheme_Type,Normalization_Method,Scheme_Note,Rank,Primary_Score,Primary_Rank,Score_Delta_vs_Primary,Rank_Shift_vs_Primary
Oklahoma,0.916953316953317,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,1.0,1.5065087234745833,1.0,-0.5895554065212663,0.0
California,0.6766633321764695,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,2.0,0.6095660548212583,3.0,0.0670972773552112,-1.0
Alaska,0.6271011840290978,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,3.0,0.4085862544162295,4.0,0.21851492961286828,-1.0
South Dakota,0.590110027141242,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,4.0,0.2509263213097866,5.0,0.33918370583145546,-1.0
Arizona,0.5824049270265305,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,5.0,0.20637024435278886,7.0,0.3760346826737416,-2.0
Idaho,0.554054054054054,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,6.0,0.6525313718015117,2.0,-0.09847731774745772,4.0
New Jersey,0.554054054054054,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,6.0,0.6525313718015117,2.0,-0.09847731774745772,4.0
Texas,0.554054054054054,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,6.0,0.6525313718015117,2.0,-0.09847731774745772,4.0
New Mexico,0.5473164158993936,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,7.0,0.0721383185618106,8.0,0.475178097337583,-1.0
Minnesota,0.526605755664817,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,8.0,0.004152869946428222,9.0,0.5224528857183888,-1.0
Michigan,0.47377336097300166,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,9.0,-0.1917673196079359,10.0,0.6655406805809375,-1.0
Oregon,0.46944913596609084,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,10.0,-0.19718357586024285,11.0,0.6666327118263337,-1.0
Nevada,0.46344705361098804,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,11.0,-0.21288394636967276,12.0,0.6763309999806608,-1.0
Florida,0.445945945945946,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,12.0,0.22812072347532591,6.0,0.21782522247062008,6.0
New York,0.3721754541426673,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,13.0,-0.3176515278075324,14.0,0.6898269819501996,-1.0
Washington,0.31790499847989184,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,14.0,-0.8236723556411192,16.0,1.141577354121011,-2.0
Utah,0.3108108108108109,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,15.0,-0.30239258693240695,13.0,0.6132033977432179,2.0
Colorado,0.21621621621621626,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,16.0,-0.67375190421782,15.0,0.8899681204340363,1.0
Montana,0.1486486486486487,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,17.0,-0.9390085594216865,17.0,1.0876572080703353,0.0
North Carolina,0.11109016862441519,configured_weights_minmax,alternate_normalization,minmax,Configured weights under alternate normalization.,18.0,-1.3790410297418936,18.0,1.4901311983663088,0.0
Oklahoma,1.5786700971683774,equal_weights,equal_weights,zscore,Equal weights across included indicators.,1.0,1.5065087234745833,1.0,0.07216137369379405,0.0
Idaho,0.6525313718015117,equal_weights,equal_weights,zscore,Equal weights across included indicators.,2.0,0.6525313718015117,2.0,0.0,0.0
New Jersey,0.6525313718015117,equal_weights,equal_weights,zscore,Equal weights across included indicators.,2.0,0.6525313718015117,2.0,0.0,0.0
Texas,0.6525313718015117,equal_weights,equal_weights,zscore,Equal weights across included indicators.,2.0,0.6525313718015117,2.0,0.0,0.0
California,0.5092730852261134,equal_weights,equal_weights,zscore,Equal weights across included indicators.,3.0,0.6095660548212583,3.0,-0.10029296959514489,0.0
Alaska,0.38368770065397373,equal_weights,equal_weights,zscore,Equal weights across included indicators.,4.0,0.4085862544162295,4.0,-0.02489855376225575,0.0
Arizona,0.2822071243571521,equal_weights,equal_weights,zscore,Equal weights across included indicators.,5.0,0.20637024435278886,7.0,0.07583688000436326,-2.0
South Dakota,0.25164181244868966,equal_weights,equal_weights,zscore,Equal weights across included indicators.,6.0,0.2509263213097866,5.0,0.0007154911389030683,1.0
Florida,0.22812072347532591,equal_weights,equal_weights,zscore,Equal weights across included indicators.,7.0,0.22812072347532591,6.0,0.0,1.0
New Mexico,0.15365048516175445,equal_weights,equal_weights,zscore,Equal weights across included indicators.,8.0,0.0721383185618106,8.0,0.08151216659994384,0.0
Minnesota,-0.029358223638343738,equal_weights,equal_weights,zscore,Equal weights across included indicators.,9.0,0.004152869946428222,9.0,-0.03351109358477196,0.0
Oregon,-0.15533591815229003,equal_weights,equal_weights,zscore,Equal weights across included indicators.,10.0,-0.19718357586024285,11.0,0.04184765770795282,-1.0
