dataset,column,dtype,non_null_count,missing_count,missing_pct,example_value,description
master_analysis_table,State,object,20,0,0.0,Alaska,
master_analysis_table,Structural_Exposure_Composite,float64,20,0,0.0,0.4085862544162295,
master_analysis_table,Indicators_Used,int64,20,0,0.0,5,
master_analysis_table,Normalization_Method,object,20,0,0.0,zscore,
master_analysis_table,Constant_Indicators_Dropped,int64,20,0,0.0,1,
master_analysis_table,Historical_Trauma_Index,float64,20,0,0.0,0.4085862544162295,
master_analysis_table,AI_AN_Population,int64,20,0,0.0,113953,
master_analysis_table,Total_Population,int64,20,0,0.0,733391,
master_analysis_table,AI_AN_Population_Percent,float64,20,0,0.0,15.537823616597422,
master_analysis_table,Mean_Mortality_Disparity_Ratio,float64,19,1,5.0,2.6276258787034448,
master_analysis_table,Mortality_Cause_Count,float64,19,1,5.0,3.0,
master_analysis_table,Mortality_Cause_List,object,19,1,5.0,Diabetes | Liver_Disease | Suicide,
master_analysis_table,Disparity_Ratio_Diabetes,float64,19,1,5.0,1.1901840263635355,
master_analysis_table,Disparity_Ratio_Liver_Disease,float64,19,1,5.0,3.9979060175407275,
master_analysis_table,Disparity_Ratio_Suicide,float64,15,5,25.0,2.6947875922060707,
master_analysis_table,AI_AN_Missing,float64,13,7,35.0,145.0,
master_analysis_table,AI_AN_Missing_Rate_per_100k_AI_AN,float64,13,7,35.0,127.2454432967978,
master_analysis_table,Included_In_Complete_Case,bool,20,0,0.0,True,
