column,missing_count,missing_pct
State,0,0.0
Structural_Exposure_Composite,0,0.0
Indicators_Used,0,0.0
Normalization_Method,0,0.0
Constant_Indicators_Dropped,0,0.0
Historical_Trauma_Index,0,0.0
AI_AN_Population,0,0.0
Total_Population,0,0.0
AI_AN_Population_Percent,0,0.0
Mean_Mortality_Disparity_Ratio,1,5.0
Mortality_Cause_Count,1,5.0
Mortality_Cause_List,1,5.0
Disparity_Ratio_Diabetes,1,5.0
Disparity_Ratio_Liver_Disease,1,5.0
Disparity_Ratio_Suicide,5,25.0
AI_AN_Missing,7,35.0
AI_AN_Missing_Rate_per_100k_AI_AN,7,35.0
Included_In_Complete_Case,0,0.0
