State,Structural_Exposure_Composite,Indicators_Used,Normalization_Method,Constant_Indicators_Dropped,Historical_Trauma_Index
Alaska,0.4085862544162295,5,zscore,1,0.4085862544162295
Arizona,0.20637024435278886,5,zscore,1,0.20637024435278886
California,0.6095660548212583,5,zscore,1,0.6095660548212583
Colorado,-0.67375190421782,1,zscore,1,-0.67375190421782
Florida,0.22812072347532591,1,zscore,1,0.22812072347532591
Idaho,0.6525313718015117,1,zscore,1,0.6525313718015117
Michigan,-0.1917673196079359,5,zscore,1,-0.1917673196079359
Minnesota,0.004152869946428222,5,zscore,1,0.004152869946428222
Montana,-0.9390085594216865,1,zscore,1,-0.9390085594216865
Nevada,-0.21288394636967276,5,zscore,1,-0.21288394636967276
New Jersey,0.6525313718015117,1,zscore,1,0.6525313718015117
New Mexico,0.0721383185618106,5,zscore,1,0.0721383185618106
New York,-0.3176515278075324,5,zscore,1,-0.3176515278075324
North Carolina,-1.3790410297418936,5,zscore,1,-1.3790410297418936
Oklahoma,1.5065087234745833,5,zscore,1,1.5065087234745833
Oregon,-0.19718357586024285,5,zscore,1,-0.19718357586024285
South Dakota,0.2509263213097866,5,zscore,1,0.2509263213097866
Texas,0.6525313718015117,1,zscore,1,0.6525313718015117
Utah,-0.30239258693240695,1,zscore,1,-0.30239258693240695
Washington,-0.8236723556411192,5,zscore,1,-0.8236723556411192
