State,Structural_Exposure_Composite,Indicators_Used,Normalization_Method,Constant_Indicators_Dropped,Historical_Trauma_Index
Alaska,0.38368770065397373,5,zscore,1,0.38368770065397373
Arizona,0.2822071243571521,5,zscore,1,0.2822071243571521
California,0.5092730852261134,5,zscore,1,0.5092730852261134
Colorado,-0.67375190421782,1,zscore,1,-0.67375190421782
Florida,0.22812072347532591,1,zscore,1,0.22812072347532591
Idaho,0.6525313718015117,1,zscore,1,0.6525313718015117
Michigan,-0.27351815091016185,5,zscore,1,-0.27351815091016185
Minnesota,-0.029358223638343738,5,zscore,1,-0.029358223638343738
Montana,-0.9390085594216865,1,zscore,1,-0.9390085594216865
Nevada,-0.17260632571266282,5,zscore,1,-0.17260632571266282
New Jersey,0.6525313718015117,1,zscore,1,0.6525313718015117
New Mexico,0.15365048516175445,5,zscore,1,0.15365048516175445
New York,-0.29157716783746135,5,zscore,1,-0.29157716783746135
North Carolina,-1.4400071407905806,5,zscore,1,-1.4400071407905806
Oklahoma,1.5786700971683774,5,zscore,1,1.5786700971683774
Oregon,-0.15533591815229003,5,zscore,1,-0.15533591815229003
South Dakota,0.25164181244868966,5,zscore,1,0.25164181244868966
Texas,0.6525313718015117,1,zscore,1,0.6525313718015117
Utah,-0.30239258693240695,1,zscore,1,-0.30239258693240695
Washington,-0.8508397356361467,5,zscore,1,-0.8508397356361467
