State,Indicator,Value,Definition,Source_Label
Arizona,Relocation_Exposure,8,Policy proxy,Curated
New Mexico,Relocation_Exposure,7,Policy proxy,Curated
Oklahoma,Relocation_Exposure,9,Policy proxy,Curated
Alaska,Relocation_Exposure,5,Policy proxy,Curated
Montana,Relocation_Exposure,6,Policy proxy,Curated
California,Relocation_Exposure,4,Policy proxy,Curated
Texas,Relocation_Exposure,3,Policy proxy,Curated
Washington,Relocation_Exposure,5,Policy proxy,Curated
North Carolina,Relocation_Exposure,4,Policy proxy,Curated
Minnesota,Relocation_Exposure,5,Policy proxy,Curated
South Dakota,Relocation_Exposure,8,Policy proxy,Curated
Florida,Relocation_Exposure,2,Policy proxy,Curated
Colorado,Relocation_Exposure,4,Policy proxy,Curated
Nevada,Relocation_Exposure,5,Policy proxy,Curated
Oregon,Relocation_Exposure,5,Policy proxy,Curated
Utah,Relocation_Exposure,4,Policy proxy,Curated
Michigan,Relocation_Exposure,3,Policy proxy,Curated
New York,Relocation_Exposure,2,Policy proxy,Curated
Idaho,Relocation_Exposure,4,Policy proxy,Curated
New Jersey,Relocation_Exposure,1,Policy proxy,Curated
