Year,State,Total_Missing,AI_AN_Missing,AI_AN_Population_Percent
2020,Arizona,1000,90,4.1
2020,New Mexico,700,70,10.4
2020,Oklahoma,1200,95,13.2
2020,Alaska,500,60,15.5
2020,Montana,400,35,6.8
2020,California,3000,85,1.6
2020,Texas,3500,60,1.1
2020,Washington,1100,55,2.9
2020,North Carolina,900,20,1.3
2020,Minnesota,800,30,2.1
2020,South Dakota,450,50,8.2
2020,Florida,2000,18,0.5
2020,Colorado,750,22,1.8
2020,Nevada,650,18,2.0
2020,Oregon,700,28,2.4
2020,Utah,500,15,1.8
2020,Michigan,900,19,1.4
2020,New York,1500,16,1.1
2020,Idaho,400,10,1.8
2020,New Jersey,800,8,0.5
