Year,State,AI_AN_Population,Total_Population
2020,Arizona,296529,7151502
2020,New Mexico,219513,2117522
2020,Oklahoma,523549,3959353
2020,Alaska,113953,733391
2020,Montana,79840,1084225
2020,California,649862,39538223
2020,Texas,315944,29145505
2020,Washington,224377,7705281
2020,North Carolina,130806,10439388
2020,Minnesota,119757,5706494
2020,South Dakota,72749,886667
2020,Florida,101295,21538187
2020,Colorado,103467,5773714
2020,Nevada,62079,3104614
2020,Oregon,100422,4237256
2020,Utah,60322,3271616
2020,Michigan,139735,10077331
2020,New York,231594,20201249
2020,Idaho,33746,1839106
2020,New Jersey,49318,9288994
